ID_VIA_ORIGINE,DESCRIZIONE_ESTESA
490097290,"VIA DELLA VECCHIA SALITA"
490097330,"VIA DELLA VENEZIA"
490097560,"VIA DELLA VOLTINA"
490097300,"VIA DELLE ABETELLE"
490090040,"VIA DELLE ACCIUGHE"
490090520,"VIA DELLE BANDIERE"
490091265,"VIA DELLE CAPANNE"
490091402,"VIA DELLE CARMELITANE"
490091440,"VIA DELLE CASE ROSSE"
490091550,"VIA DELLE CATERATTE"
490091610,"VIA DELLE CAVE"
490091940,"VIA DELLE COLLINE"
490091990,"VIA DELLE COMMEDIE"
490092000,"VIA DELLE CONCE"
490092035,"VIA DELLE CORALLAIE"
490092125,"VIA DELLE CORTI"
490092195,"VIA DELLE CROCIERE"
490092605,"VIA DELLE ERBE"
490092620,"VIA DELLE ERICHE"
490092703,"VIA DELLE FATTORIE"
490092840,"VIA DELLE FORNACI"
490093020,"VIA DELLE GALERE"
490093215,"VIA DELLE GHIANDAIE"
490093442,"VIA DELLE GORE"
490093550,"VIA DELLE GRAZIE"
490093750,"VIA DELLE LASTRE"
490094075,"VIA DELLE MACCHIE"
490094340,"VIA DELLE MARGHERITE"
490094934,"VIA DELLE MORE"
490094940,"VIA DELLE MORTELLE"
490095040,"VIA DELLE NAVI"
490095155,"VIA DELLE ORTENSIE"
490095590,"VIA DELLE PIANACCE"
490096090,"VIA DELLE REGATE"
490096185,"VIA DELLE ROBINIE"
490096600,"VIA DELLE SIEPI"
490096670,"VIA DELLE SORGENTI"
490096780,"VIA DELLE TAMERICI"
490097030,"VIA DELLE TRAVI"
490097075,"VIA DELLE TUBEROSE"
490097210,"VIA DELLE VALLICELLE"
490097310,"VIA DELLE VELE"
490097450,"VIA DELLE VIGNACCE"
490097678,"VIA DELLE VILLETTE"
490097495,"VIA DELLE VIOLE"
490097675,"VIA DELLO SCOLMATORE"
490096745,"VIA DELLO STILLO"
490096756,"VIA DELLO STRUGGINO"
490092370,"VIA DERNA"
490091145,"VIA DI CALA MARTINA"
490091243,"VIA DI CAMPO AL LUPO"
490091436,"VIA DI CASA COLONICA"
490091930,"VIA DI COLLINAIA"
490092160,"VIA DI COTETO"
490092940,"VIA DI FRANCO"
490093552,"VIA DI GRECALE"
490093870,"VIA DI LEVANTE"
490093875,"VIA DI LIBECCIO"
490094112,"VIA DI MAESTRALE"
490094165,"VIA DI MAGRIGNANO"
490094910,"VIA DI MONTENERO"
490094930,"VIA DI MONTEROTONDO"
490095237,"VIA DI OSTRO"
490095612,"VIA DI PIAZZA D'ARMI"
490095890,"VIA DI POPOGNA"
490095997,"VIA DI QUARRATA"
490096010,"VIA DI QUERCIANELLA"
490090165,"VIA DI S. ALO'"
490096340,"VIA DI SALVIANO"
490096497,"VIA DI SCIROCCO"
490097005,"VIA DI TRAMONTANA"
490097215,"VIA DI VALLIN BUIO"
490092410,"VIA DICIANNOVE LUGLIO 1944"
490094370,"VIA DIEGO MARTELLI"
490092938,"VIA DINO LIVIO FRANGIONI"
490094005,"VIA DINO LUGETTI"
490095945,"VIA DINO PROVENZAL"
490090920,"VIA DIOMEDE BONAMICI"
490091790,"VIA DOMENICO CIMAROSA"
490092670,"VIA DOMENICO FRANC. FALCUCCI"
490095450,"VIA DOMENICO PASSAPONTI"
490094585,"VIA DON ALDO MEI"
490090130,"VIA DON DAVID ALBERTARIO"
490096020,"VIA DON GIOV. BATTISTA QUILICI"
490094747,"VIA DON GIOVANNI MINZONI"
490093050,"VIA DON ITALO GAMBINI"
490094155,"VIA DON MAGGINI"
490094715,"VIA DON MILANI"
490093480,"VIA DON RENZO GORI"
490090235,"VIA DON ROBERTO ANGELI"
490096280,"VIA DONATO ROSSETTI"
490092510,"VIA DUCA COSIMO"
490093035,"VIA DUCCIO GALIMBERTI"
490092550,"VIA EBREI VITTIME NAZISMO"
490092662,"VIA EDDA FAGNI"
490092260,"VIA EDMONDO DE AMICIS"
490090540,"VIA ELIA BAQUIS"
490092685,"VIA ELIO FANTINI"
490097668,"VIA ELIO ZEME"
490092590,"VIA EMILIA"
490097610,"VIA EMILIO ZOLA"
490090620,"VIA ENRICO BARTELLONI"
490091770,"VIA ENRICO CIALDINI"
490092330,"VIA ENRICO DELLE SEDIE"
490092825,"VIA ENRICO FONTANA"
490094505,"VIA ENRICO MATTEI"
490094530,"VIA ENRICO MAYER"
490095840,"VIA ENRICO POLLASTRINI"
490097000,"VIA ENRICO TOTI"
490092965,"VIA ENZO FREGOSI"
490095835,"VIA ENZO POLI"
490092603,"VIA EOLO"
490090900,"VIA ERMENEGILDO BOIS"
490100018,"VIA ERMINIA CREMONI"
490094220,"VIA ERNESTO MANASSE"
490096290,"VIA ERNESTO ROSSI"
490094675,"VIA ERSILIO MICHEL"
490095995,"VIA ETTORE QUAGLIERINI"
490096910,"VIA ETTORE TOCI"
490092630,"VIA EUGENIA"
490092210,"VIA EUGENIO CURIEL"
490096140,"VIA EUGENIO RIGNANO"
490096400,"VIA EUGENIO SANSONI"
490091210,"VIA FABIO CAMPANA"
490092750,"VIA FABIO FILZI"
490092660,"VIA FAGIUOLI"
490092667,"VIA FALCONE E BORSELLINO"
490091350,"VIA FEDERICO CAPRILLI"
490092600,"VIA FEDERIGO ENRIQUES"
490090860,"VIA FELIKS BIKONACKI"
490094130,"VIA FERDINANDO MAGAGNINI"
490091090,"VIA FERRUCCIO BUSONI"
490096225,"VIA FERRUCCIO RONTINI"
490092740,"VIA FIERA DI SANT'ANTONINO"
490091060,"VIA FILIPPO BUONARROTI"
490092080,"VIA FILIPPO CORRIDI"
490092090,"VIA FILIPPO CORRIDONI"
